slot_id,page_path,slot_key,slot_type,anchor_text,priority_level,risk_score,selected,prompt_hash
4ae7da935ac6610c,/blog/index.html,hero,hero,Blog,1,0.2,True,dbdca23ffcf28cf5
a4b38328399e4688,/ciudades/index.html,hero,hero,Ciudades,1,0.2,True,fab7a20b64e51e8b
378e2b525ebdc48f,/cobertura/cdmx/mejor-internet-cdmx/index.html,hero,hero,Mejor internet en CDMX: qué conviene por zona,1,0.2,True,c770223c01e7d921
c5d65aebc397f1fd,/cobertura/guadalajara/index.html,hero,hero,Internet en Guadalajara: qué conviene por zona,1,0.2,True,2d1855c7c53b5606
8a8a55ce5011bfda,/cobertura/index.html,hero,hero,Cobertura por ciudad,1,0.2,True,df55a8a4d1938bf5
d020922dddd912ae,/cobertura/monterrey/index.html,hero,hero,Internet en Monterrey: qué conviene por zona,1,0.2,True,283696c5a9ece583
d115866d4411febc,/cobertura/puebla/index.html,hero,hero,Internet en Puebla: qué conviene por zona,1,0.2,True,b394ecc815daa01e
525bf4cdb024b00d,/cobertura/queretaro/index.html,hero,hero,Internet en Querétaro: qué conviene por zona,1,0.2,True,f73ff6d82a812092
30435792faea8975,/esim-viajeros/index.html,hero,hero,eSIM y viajeros,1,0.2,True,3d878df85d9cebeb
37b12bc5146f8cb6,/esim-viajeros/mejor-esim-para-mexico/index.html,hero,hero,Mejor eSIM para México (cómo elegir sin pagar de más),1,0.2,True,dfd4681013e46c38
d8a4b5e81e527b7c,/esim/index.html,hero,hero,eSIM,1,0.2,True,
b8c3d779d399cc2d,/guias/cuantos-mbps-necesito/index.html,hero,hero,¿Cuántos Mbps necesito? (sin pagar de más),1,0.2,True,
fdd3f4cbb6b361f9,/guias/index.html,hero,hero,Guías,1,0.2,True,
e9cc5d3d8f80b7af,/herramientas/index.html,hero,hero,Herramientas de conectividad,1,0.2,True,
acfee8173e45df0c,/index.html,hero,hero,"Mejor Conexión: internet, datos móviles y servicios digitales en México",1,0.2,True,
30a2524da630f115,/internet-en-casa/como-elegir-router-wifi-mexico/index.html,hero,hero,Cómo elegir un router Wi‑Fi para tu casa,1,0.2,True,
3d1ec2bb59d34a24,/internet-en-casa/companias-internet-mexico/index.html,hero,hero,Compañías de internet en México (cómo comparar sin caer en trampas),1,0.2,True,
575bb60aca64e7aa,/internet-en-casa/fibra-vs-coaxial-mexico/index.html,hero,hero,Fibra vs coaxial en México,1,0.2,True,
cae6b136385ef2ff,/internet-en-casa/fibra-vs-inalambrico-mexico/index.html,hero,hero,Fibra óptica vs internet inalámbrico en México,1,0.2,True,
bfb68d99084d8563,/internet-en-casa/index.html,hero,hero,Internet en casa,1,0.2,True,
41a4e64933ed3d98,/internet-en-casa/internet-barato-mexico/index.html,hero,hero,Internet barato en México (sin comprar un problema),1,0.2,False,
